32 by 300 matrix 	 3.72692 Gflop/s
32 by 299 matrix 	 3.74299 Gflop/s
32 by 298 matrix 	 3.72487 Gflop/s
32 by 297 matrix 	 3.73139 Gflop/s
32 by 296 matrix 	 3.73628 Gflop/s
32 by 295 matrix 	 3.71672 Gflop/s
32 by 294 matrix 	 3.72753 Gflop/s
32 by 293 matrix 	 3.72439 Gflop/s
32 by 292 matrix 	 3.7215 Gflop/s
32 by 291 matrix 	 3.73549 Gflop/s
32 by 290 matrix 	 3.73897 Gflop/s
32 by 289 matrix 	 3.76665 Gflop/s
32 by 288 matrix 	 3.76544 Gflop/s
32 by 287 matrix 	 3.77524 Gflop/s
32 by 286 matrix 	 3.77772 Gflop/s
32 by 285 matrix 	 3.79213 Gflop/s
32 by 284 matrix 	 3.82719 Gflop/s
32 by 283 matrix 	 3.84527 Gflop/s
32 by 282 matrix 	 3.87058 Gflop/s
32 by 281 matrix 	 3.90019 Gflop/s
32 by 280 matrix 	 3.89211 Gflop/s
32 by 279 matrix 	 3.90727 Gflop/s
32 by 278 matrix 	 3.9465 Gflop/s
32 by 277 matrix 	 3.95188 Gflop/s
32 by 276 matrix 	 3.98454 Gflop/s
32 by 275 matrix 	 4.02073 Gflop/s
32 by 274 matrix 	 4.04465 Gflop/s
32 by 273 matrix 	 4.06916 Gflop/s
32 by 272 matrix 	 4.09915 Gflop/s
32 by 271 matrix 	 4.13245 Gflop/s
32 by 270 matrix 	 4.16938 Gflop/s
32 by 269 matrix 	 4.20967 Gflop/s
32 by 268 matrix 	 4.2247 Gflop/s
32 by 267 matrix 	 4.27529 Gflop/s
32 by 266 matrix 	 4.32486 Gflop/s
32 by 265 matrix 	 4.35472 Gflop/s
32 by 264 matrix 	 4.39641 Gflop/s
32 by 263 matrix 	 4.45874 Gflop/s
32 by 262 matrix 	 4.4901 Gflop/s
32 by 261 matrix 	 4.54634 Gflop/s
32 by 260 matrix 	 4.59762 Gflop/s
32 by 259 matrix 	 4.63845 Gflop/s
32 by 258 matrix 	 4.68074 Gflop/s
32 by 257 matrix 	 4.78627 Gflop/s
32 by 256 matrix 	 4.81115 Gflop/s
32 by 255 matrix 	 4.8391 Gflop/s
32 by 254 matrix 	 4.8437 Gflop/s
32 by 253 matrix 	 4.84702 Gflop/s
32 by 252 matrix 	 4.86404 Gflop/s
32 by 251 matrix 	 4.87981 Gflop/s
32 by 250 matrix 	 4.88541 Gflop/s
32 by 249 matrix 	 4.90058 Gflop/s
32 by 248 matrix 	 4.86856 Gflop/s
32 by 247 matrix 	 4.87141 Gflop/s
32 by 246 matrix 	 4.87268 Gflop/s
32 by 245 matrix 	 4.90644 Gflop/s
32 by 244 matrix 	 4.9044 Gflop/s
32 by 243 matrix 	 4.90338 Gflop/s
32 by 242 matrix 	 4.91027 Gflop/s
32 by 241 matrix 	 4.35142 Gflop/s
32 by 240 matrix 	 4.93491 Gflop/s
32 by 239 matrix 	 4.93054 Gflop/s
32 by 238 matrix 	 4.92955 Gflop/s
32 by 237 matrix 	 4.92455 Gflop/s
32 by 236 matrix 	 4.94918 Gflop/s
32 by 235 matrix 	 4.94803 Gflop/s
32 by 234 matrix 	 4.95731 Gflop/s
32 by 233 matrix 	 4.97036 Gflop/s
32 by 232 matrix 	 4.97171 Gflop/s
32 by 231 matrix 	 4.98174 Gflop/s
32 by 230 matrix 	 4.98295 Gflop/s
32 by 229 matrix 	 4.9893 Gflop/s
32 by 228 matrix 	 5.00461 Gflop/s
32 by 227 matrix 	 5.02246 Gflop/s
32 by 226 matrix 	 5.02599 Gflop/s
32 by 225 matrix 	 5.0432 Gflop/s
32 by 224 matrix 	 5.05994 Gflop/s
32 by 223 matrix 	 5.05199 Gflop/s
32 by 222 matrix 	 5.07124 Gflop/s
32 by 221 matrix 	 5.06921 Gflop/s
32 by 220 matrix 	 5.08143 Gflop/s
32 by 219 matrix 	 5.0897 Gflop/s
