32 by 300 matrix 	 3.64258 Gflop/s
32 by 299 matrix 	 3.65349 Gflop/s
32 by 298 matrix 	 3.64867 Gflop/s
32 by 297 matrix 	 3.64951 Gflop/s
32 by 296 matrix 	 3.64063 Gflop/s
32 by 295 matrix 	 3.64469 Gflop/s
32 by 294 matrix 	 3.64184 Gflop/s
32 by 293 matrix 	 3.64199 Gflop/s
32 by 292 matrix 	 3.6454 Gflop/s
32 by 291 matrix 	 3.65793 Gflop/s
32 by 290 matrix 	 3.66335 Gflop/s
32 by 289 matrix 	 3.66986 Gflop/s
32 by 288 matrix 	 3.68063 Gflop/s
32 by 287 matrix 	 3.68911 Gflop/s
32 by 286 matrix 	 3.69392 Gflop/s
32 by 285 matrix 	 3.71891 Gflop/s
32 by 284 matrix 	 3.75225 Gflop/s
32 by 283 matrix 	 3.77073 Gflop/s
32 by 282 matrix 	 3.7921 Gflop/s
32 by 281 matrix 	 3.82928 Gflop/s
32 by 280 matrix 	 3.84094 Gflop/s
32 by 279 matrix 	 3.8592 Gflop/s
32 by 278 matrix 	 3.82173 Gflop/s
32 by 277 matrix 	 3.94788 Gflop/s
32 by 276 matrix 	 3.98385 Gflop/s
32 by 275 matrix 	 4.0191 Gflop/s
32 by 274 matrix 	 4.03687 Gflop/s
32 by 273 matrix 	 4.05886 Gflop/s
32 by 272 matrix 	 4.10396 Gflop/s
32 by 271 matrix 	 4.15217 Gflop/s
32 by 270 matrix 	 4.16806 Gflop/s
32 by 269 matrix 	 4.18317 Gflop/s
32 by 268 matrix 	 4.22035 Gflop/s
32 by 267 matrix 	 4.27863 Gflop/s
32 by 266 matrix 	 4.33054 Gflop/s
32 by 265 matrix 	 4.36485 Gflop/s
32 by 264 matrix 	 4.38356 Gflop/s
32 by 263 matrix 	 4.46926 Gflop/s
32 by 262 matrix 	 4.51827 Gflop/s
32 by 261 matrix 	 4.53605 Gflop/s
32 by 260 matrix 	 4.6078 Gflop/s
32 by 259 matrix 	 4.65958 Gflop/s
32 by 258 matrix 	 4.69981 Gflop/s
32 by 257 matrix 	 4.76507 Gflop/s
32 by 256 matrix 	 4.78772 Gflop/s
32 by 255 matrix 	 4.7878 Gflop/s
32 by 254 matrix 	 4.77364 Gflop/s
32 by 253 matrix 	 4.83986 Gflop/s
32 by 252 matrix 	 4.84659 Gflop/s
32 by 251 matrix 	 4.8634 Gflop/s
32 by 250 matrix 	 4.85902 Gflop/s
32 by 249 matrix 	 4.8603 Gflop/s
32 by 248 matrix 	 4.85493 Gflop/s
32 by 247 matrix 	 4.83309 Gflop/s
32 by 246 matrix 	 4.82577 Gflop/s
32 by 245 matrix 	 4.83287 Gflop/s
32 by 244 matrix 	 4.84001 Gflop/s
32 by 243 matrix 	 4.8388 Gflop/s
32 by 242 matrix 	 4.84793 Gflop/s
32 by 241 matrix 	 4.8383 Gflop/s
32 by 240 matrix 	 4.84438 Gflop/s
32 by 239 matrix 	 4.87525 Gflop/s
32 by 238 matrix 	 4.87819 Gflop/s
32 by 237 matrix 	 4.88611 Gflop/s
32 by 236 matrix 	 4.86865 Gflop/s
32 by 235 matrix 	 4.88159 Gflop/s
32 by 234 matrix 	 4.8992 Gflop/s
32 by 233 matrix 	 4.90695 Gflop/s
32 by 232 matrix 	 4.90829 Gflop/s
32 by 231 matrix 	 4.91769 Gflop/s
32 by 230 matrix 	 4.92961 Gflop/s
32 by 229 matrix 	 4.92789 Gflop/s
32 by 228 matrix 	 4.94629 Gflop/s
32 by 227 matrix 	 4.96272 Gflop/s
32 by 226 matrix 	 4.96885 Gflop/s
32 by 225 matrix 	 5.0181 Gflop/s
32 by 224 matrix 	 5.05923 Gflop/s
32 by 223 matrix 	 5.0586 Gflop/s
32 by 222 matrix 	 5.05928 Gflop/s
32 by 221 matrix 	 5.07568 Gflop/s
32 by 220 matrix 	 5.07821 Gflop/s
32 by 219 matrix 	 5.08507 Gflop/s
32 by 218 matrix 	 5.07464 Gflop/s
32 by 217 matrix 	 5.08412 Gflop/s
32 by 216 matrix 	 5.08749 Gflop/s
32 by 215 matrix 	 5.07668 Gflop/s
32 by 214 matrix 	 5.05159 Gflop/s
32 by 213 matrix 	 5.04972 Gflop/s
32 by 212 matrix 	 5.05413 Gflop/s
32 by 211 matrix 	 5.03246 Gflop/s
32 by 210 matrix 	 5.06192 Gflop/s
32 by 209 matrix 	 5.06055 Gflop/s
32 by 208 matrix 	 5.05939 Gflop/s
32 by 207 matrix 	 5.0821 Gflop/s
32 by 206 matrix 	 5.07159 Gflop/s
32 by 205 matrix 	 5.07692 Gflop/s
32 by 204 matrix 	 5.08407 Gflop/s
32 by 203 matrix 	 5.09493 Gflop/s
32 by 202 matrix 	 5.09311 Gflop/s
32 by 201 matrix 	 5.11008 Gflop/s
32 by 200 matrix 	 5.11326 Gflop/s
32 by 199 matrix 	 5.10781 Gflop/s
32 by 198 matrix 	 5.12925 Gflop/s
32 by 197 matrix 	 5.12598 Gflop/s
32 by 196 matrix 	 5.13209 Gflop/s
32 by 195 matrix 	 5.14253 Gflop/s
32 by 194 matrix 	 5.17243 Gflop/s
